last_name, first_name,player_id,year,b_total_pa,b_k_percent,b_bb_percent,on_base_plus_slg,wobacon,xwobacon,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Frazier, Adam,624428,2021,41,9.8,14.6,.729,.296,.309,82.4,0,12.5,
Moran, Colin,592567,2021,43,34.9,16.3,.895,.584,.548,91.4,18.2,45.5,
Evans, Phillip,595943,2021,35,8.6,5.7,1.207,.509,.432,93.5,9.7,54.8,
Pham, Tommy,502054,2021,44,13.6,11.4,.385,.131,.362,90.9,11.8,47.1,
Myers, Wil,571976,2021,46,21.7,13.0,1.110,.562,.490,88,16.1,48.4,
Crawford, J.P.,641487,2021,34,14.7,2.9,.447,.269,.252,84.9,0,27.3,
Yastrzemski, Mike,573262,2021,37,37.8,10.8,.459,.365,.327,84.2,9.1,27.3,
Crawford, Brandon,543063,2021,34,17.6,5.9,.612,.354,.529,86.9,22.2,40.7,
Carlson, Dylan,666185,2021,39,30.8,10.3,.767,.474,.409,87.2,12,32,
Semien, Marcus,543760,2021,47,25.5,8.5,.695,.398,.364,91.3,8.8,52.9,
Polanco, Jorge,593871,2021,43,20.9,7.0,.361,.153,.327,86.9,2.9,32.4,
Harper, Bryce,547180,2021,38,21.1,21.1,.965,.411,.622,92.6,19.2,46.2,
Gregorius, Didi,544369,2021,38,26.3,2.6,.786,.448,.344,82.4,6.5,22.6,
Freeman, Freddie,518692,2021,41,12.2,14.6,.754,.341,.523,93.7,15.2,54.5,
Acuna Jr., Ronald,660670,2021,44,13.6,11.4,1.447,.645,.586,96.6,16.7,63.9,
Robert, Luis,673357,2021,45,28.9,8.9,.736,.372,.418,90.8,12.9,38.7,
Eaton, Adam,594809,2021,40,17.5,12.5,.864,.413,.399,84.9,6.7,43.3,
LeMahieu, DJ,518934,2021,47,14.9,12.8,.776,.395,.393,90,5.6,36.1,
Judge, Aaron,592450,2021,36,19.4,13.9,.873,.382,.518,99.4,14.8,63,
Upton, Justin,457708,2021,42,28.6,9.5,.591,.310,.391,89.9,8,44,
Mancini III, Trey,641820,2021,41,31.7,7.3,.649,.300,.413,88.6,12.9,45.2,
Mountcastle, Ryan,663624,2021,40,42.5,5.0,.541,.444,.407,90.6,7.7,42.3,
Devers, Rafael,646240,2021,37,24.3,10.8,.976,.552,.657,94,24,56,
Hernandez, Enrique,571771,2021,42,21.4,4.8,.654,.300,.461,89.1,12.1,45.5,
Vazquez, Christian,543877,2021,36,13.9,5.6,1.064,.469,.353,88.5,3.1,37.5,
