last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Yastrzemski, Mike,573262,2021,37,.459,.274,.254,84.2,9.1,27.3,
Crawford, Brandon,543063,2021,34,.612,.307,.431,86.9,22.2,40.7,
Carlson, Dylan,666185,2021,39,.767,.365,.328,87.2,12,32,
Semien, Marcus,543760,2021,47,.695,.327,.305,91.3,8.8,52.9,
Gurriel Jr., Lourdes,666971,2021,30,.372,.173,.273,87.5,4.3,43.5,
Cave, Jake,595909,2021,31,.404,.198,.301,87.4,4.8,33.3,
Polanco, Jorge,593871,2021,43,.361,.170,.296,86.9,2.9,32.4,
Realmuto, J.T.,592663,2021,32,.908,.375,.355,89.5,7.7,42.3,
Harper, Bryce,547180,2021,38,.965,.379,.507,92.6,19.2,46.2,
Gregorius, Didi,544369,2021,38,.786,.332,.259,82.4,6.5,22.6,
Freeman, Freddie,518692,2021,41,.754,.335,.472,93.7,15.2,54.5,
Pache, Cristian,665506,2021,29,.317,.161,.158,82.6,0,29.4,
Acuna Jr., Ronald,660670,2021,44,1.447,.559,.516,96.6,16.7,63.9,
Robert, Luis,673357,2021,45,.736,.292,.321,90.8,12.9,38.7,
Eaton, Adam,594809,2021,40,.864,.377,.368,84.9,6.7,43.3,
Chisholm Jr. Jr., Jazz,665862,2021,30,.888,.375,.449,94.1,25,50,
Duvall, Adam,594807,2021,28,.690,.442,.394,91.3,19,42.9,
Aguilar, Jesus,542583,2021,30,.760,.373,.388,88.4,3.8,34.6,
Dickerson, Corey,572816,2021,33,.733,.298,.342,84.2,3.8,34.6,
Anderson, Brian,605119,2021,32,.452,.281,.315,87.6,10.7,35.7,
Cooper, Garrett,643265,2021,29,.785,.333,.301,88.1,0,44.4,
LeMahieu, DJ,518934,2021,47,.776,.374,.373,90,5.6,36.1,
Judge, Aaron,592450,2021,36,.873,.345,.437,99.4,14.8,63,
Shaw, Travis,543768,2021,32,.861,.375,.376,86,8,40,
Hiura, Keston,669374,2021,32,.414,.181,.245,89.4,10,30,
Upton, Justin,457708,2021,42,.591,.268,.317,89.9,8,44,
Marte, Ketel,606466,2021,28,1.346,.567,.428,86.9,9.1,36.4,
Rojas, Josh,668942,2021,32,.259,.143,.244,85.5,0,35,
Mancini III, Trey,641820,2021,41,.649,.247,.318,88.6,12.9,45.2,
Mountcastle, Ryan,663624,2021,40,.541,.281,.260,90.6,7.7,42.3,
Devers, Rafael,646240,2021,37,.976,.440,.503,94,24,56,
