last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Bregman, Alex,608324,2021,262,.787,.339,.317,88.8,5.8,37.6,
Gallo, Joey,608336,2021,388,.869,.374,.376,91.6,18.4,43.2,
Winker, Jesse,608385,2021,423,.931,.397,.385,91,11.4,48.4,
Swanson, Dansby,621020,2021,421,.755,.319,.329,90.7,12.3,46.7,
Newman, Kevin,621028,2021,358,.521,.230,.268,85.6,0.9,24.7,
Taylor, Chris,621035,2021,401,.861,.372,.357,88.8,11.6,40.1,
Correa, Carlos,621043,2021,407,.849,.365,.350,90.1,9.1,43.1,
Wendle, Joey,621563,2021,312,.789,.337,.278,87.7,4.6,34.4,
Olson, Matt,621566,2021,415,.954,.397,.398,92,14.7,50.2,
Margot, Manuel,622534,2021,299,.690,.297,.312,87.6,5.6,42.3,
Alonso, Pete,624413,2021,366,.860,.360,.370,91.8,15.3,46.3,
